case_id,family,split,severity,nominal_success,nominal_outcome,v1_minus_nominal_success,v2_minus_nominal_success,v1_success,v2_success,v1_outcome,v2_outcome,success_delta,neither_intervenes,v2_new_branch_used,v2_trigger_branches,v1_first_trigger_s,v2_first_trigger_s,first_trigger_time_equal,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h042_combined_moderate_v2,combined,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.658333333192786,0.04857272945658161,0.010011556995116227,0.0008676375906458417,False,1160,22
h043_combined_moderate_v3,combined,held_out,moderate,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.800000000124783,9.800000000124783,True,True,9.800000000124783,0.0,0.0,0.0,True,1177,0
h044_combined_severe_v0,combined,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,True,9.033333333325118,0.0,0.0,0.0,True,1085,0
h045_combined_severe_v1,combined,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,False,9.641666666657898,0.05675210582241615,0.08242099256681185,0.003375481385163976,False,1158,61
h046_combined_severe_v2,combined,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,8.59999999999377,8.599999999992178,True,True,8.59999999999377,0.0,0.0,0.0,True,1033,0
h047_combined_severe_v3,combined,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,True,8.716666666539822,0.0,0.0,0.0,True,1047,0
h048_terminal_band_moderate_v0,terminal_band,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.85000000012542,0.03297703501446973,0.011673810262071422,0.0036473993801698222,False,1183,145
h049_terminal_band_moderate_v1,terminal_band,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.816666666657738,0.055526078204915855,0.007279136318447556,0.008078909972686168,False,1179,76
h050_terminal_band_moderate_v2,terminal_band,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.808333333332776,0.07874137386474125,0.012005797197962081,0.004462593456195366,False,1178,194
h051_terminal_band_moderate_v3,terminal_band,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.816666666523815,0.08228657242592263,0.0062384508312036,0.015692296142016778,False,1179,208
h052_terminal_band_severe_v0,terminal_band,held_out,severe,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.783333333190967,0.00843258787050248,0.0045194044869091244,0.0021274953642868217,False,1175,80
h053_terminal_band_severe_v1,terminal_band,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.599999999991269,9.599999999991269,True,False,9.599999999991269,0.01070592900211587,0.017847492206890057,0.0029612966927766815,False,1153,167
h054_terminal_band_severe_v2,terminal_band,held_out,severe,False,time_budget_exhausted,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.800000000124783,9.800000000124783,True,False,9.800000000124783,0.026555356459360697,0.03631156641276955,0.008509588090653426,False,1177,169
h055_terminal_band_severe_v3,terminal_band,held_out,severe,False,time_budget_exhausted,0,1,False,True,time_budget_exhausted,insertion_success,1,False,True,terminal,,10.59999999984575,,True,10.59999999984575,0.0,0.0,0.0,True,1273,0
h056_late_combined_moderate_v0,late_combined,held_out,moderate,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,True,9.766666666524543,0.0,0.0,0.0,True,1173,0
h057_late_combined_moderate_v1,late_combined,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,False,9.799999999991087,0.010714220842730781,0.004573332237008478,0.004697079318303539,False,1177,89
h058_late_combined_moderate_v2,late_combined,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.858333333324367,0.0,0.0,0.0,True,1184,0
h059_late_combined_moderate_v3,late_combined,held_out,moderate,True,insertion_success,0,0,True,True,insertion_success,insertion_success,0,True,False,,,,,True,9.974999999990928,0.0,0.0,0.0,True,1198,0
h060_late_combined_severe_v0,late_combined,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,True,9.291666666784977,0.0,0.0,0.0,True,1116,0
h061_late_combined_severe_v1,late_combined,held_out,severe,False,grasp_retention_limit,0,0,False,False,grasp_retention_limit,grasp_retention_limit,0,True,False,,,,,False,9.50000000000756,0.015106499064433542,0.023414768361563924,0.0024985161822985444,False,1141,64
h062_late_combined_severe_v2,late_combined,held_out,severe,False,grasp_retention_limit,1,1,True,True,insertion_success,insertion_success,0,False,False,normal,9.70000000012351,9.70000000012351,True,False,9.70000000012351,0.018927090168542198,0.03233783936650763,0.0022151347355907156,False,1165,64
h063_late_combined_severe_v3,late_combined,held_out,severe,False,grasp_retention_limit,0,1,False,True,grasp_retention_limit,insertion_success,1,False,True,urgent,9.899999999855936,9.799999999857391,False,True,9.799999999857391,0.0,0.0,0.0,True,1177,0
