case_id,family,group_id,split,severity,detector,shadow_alert_on_success,first_shadow_alert_s,shadow_branch,actual_intervention_on_nominal_success,actual_interventions,controlled_success,controlled_safety_stop,prefix_matched,prefix_time_s,prefix_position_mm,prefix_orientation_deg,prefix_depth_rmse_mm,endpoint_prefix_matched,prefix_samples,prefix_mismatched_samples
h048_terminal_band_moderate_v0,terminal_band,h048_terminal_band_moderate_v0,held_out,moderate,v1,False,,,False,0,True,False,False,9.85000000012542,0.03297703501446973,0.011673810262071422,0.0036473993801698222,False,1183,145
h048_terminal_band_moderate_v0,terminal_band,h048_terminal_band_moderate_v0,held_out,moderate,v2,False,,,False,0,True,False,True,9.875000000125738,0.0,0.0,0.0,True,1186,0
h049_terminal_band_moderate_v1,terminal_band,h049_terminal_band_moderate_v1,held_out,moderate,v1,False,,,False,0,True,False,False,9.816666666657738,0.055526078204915855,0.007279136318447556,0.008078909972686168,False,1179,76
h049_terminal_band_moderate_v1,terminal_band,h049_terminal_band_moderate_v1,held_out,moderate,v2,False,,,False,0,True,False,True,9.816666666657738,0.0,0.0,0.0,True,1179,0
h050_terminal_band_moderate_v2,terminal_band,h050_terminal_band_moderate_v2,held_out,moderate,v1,False,,,False,0,True,False,False,9.808333333332776,0.07874137386474125,0.012005797197962081,0.004462593456195366,False,1178,194
h050_terminal_band_moderate_v2,terminal_band,h050_terminal_band_moderate_v2,held_out,moderate,v2,False,,,False,0,True,False,True,9.816666666666109,0.0,0.0,0.0,True,1179,0
h051_terminal_band_moderate_v3,terminal_band,h051_terminal_band_moderate_v3,held_out,moderate,v1,False,,,False,0,True,False,False,9.816666666523815,0.08228657242592263,0.0062384508312036,0.015692296142016778,False,1179,208
h051_terminal_band_moderate_v3,terminal_band,h051_terminal_band_moderate_v3,held_out,moderate,v2,False,,,False,0,True,False,True,9.816666666523815,0.0,0.0,0.0,True,1179,0
h052_terminal_band_severe_v0,terminal_band,h052_terminal_band_severe_v0,held_out,severe,v1,False,,,False,0,True,False,False,9.783333333190967,0.00843258787050248,0.0045194044869091244,0.0021274953642868217,False,1175,80
h052_terminal_band_severe_v0,terminal_band,h052_terminal_band_severe_v0,held_out,severe,v2,False,,,False,0,True,False,True,9.783333333190967,0.0,0.0,0.0,True,1175,0
h057_late_combined_moderate_v1,late_combined,h057_late_combined_moderate_v1,held_out,moderate,v1,False,,,False,0,True,False,True,9.83333333332439,0.0,0.0,0.0,True,1181,0
h057_late_combined_moderate_v1,late_combined,h057_late_combined_moderate_v1,held_out,moderate,v2,False,,,False,0,True,False,False,9.799999999991087,0.010714220842730781,0.004573332237008478,0.004697079318303539,False,1177,89
h058_late_combined_moderate_v2,late_combined,h058_late_combined_moderate_v2,held_out,moderate,v1,False,,,False,0,True,False,False,9.849999999991041,0.0442476766559123,0.059545618327911144,0.004433259902395958,False,1183,72
h058_late_combined_moderate_v2,late_combined,h058_late_combined_moderate_v2,held_out,moderate,v2,False,,,False,0,True,False,False,9.849999999991041,0.0442476766559123,0.059545618327911144,0.004433259902395958,False,1183,72
h059_late_combined_moderate_v3,late_combined,h059_late_combined_moderate_v3,held_out,moderate,v1,False,,,False,0,True,False,False,9.941666666657625,0.0323795758491162,0.026233311528140967,0.006886914876748181,False,1194,56
h059_late_combined_moderate_v3,late_combined,h059_late_combined_moderate_v3,held_out,moderate,v2,False,,,False,0,True,False,False,9.941666666657625,0.0323795758491162,0.026233311528140967,0.006886914876748181,False,1194,56
