cohort,task,scope,feature,trajectories,positive_trajectories,groups,auc,auc_low,auc_high,force_auc_same_subset,delta_vs_force,delta_low,delta_high,interpretation
all,difficult_vs_success,band10_15,abs_dforce_dt,170,37,117,0.8321710072282155,0.71448814578621,0.9339124855465016,0.6940176528277214,0.13815335440049403,0.03312260994396071,0.25473894593657614,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,rms_dforce_dt,170,37,117,0.7076931459082488,0.5877675280679395,0.8137244656056354,0.6940176528277214,0.013675493080527401,-0.06258864552686064,0.08333045089177646,descriptive grouped association; no held-out classifier or causal inference
all,difficult_vs_success,band10_15,abs_dforce_ddepth,170,37,117,0.6314518179506737,0.5265033841400975,0.7336609663973401,0.6940176528277214,-0.0625658348770477,-0.15569955416799705,0.03403523797168853,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,full_sensitivity,96,3,89,0.8837209302325582,0.625,1.0,0.9844961240310077,-0.10077519379844957,-0.34744318181818185,0.023142207965784558,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,translation_sensitivity,96,3,89,0.8449612403100775,0.5048295454545455,1.0,0.9844961240310077,-0.13953488372093026,-0.4772727272727273,0.03409090909090906,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,lateral_tilt_sensitivity,96,3,89,0.8255813953488372,0.5638505747126437,0.9801065891472868,0.9844961240310077,-0.1589147286821705,-0.43614942528735634,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,force_norm,96,3,89,0.9844961240310077,0.9534883720930233,1.0,0.9844961240310077,0.0,0.0,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,torque_norm,96,3,89,1.0,1.0,1.0,0.9844961240310077,0.015503875968992276,0.0,0.046511627906976716,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,normal_load,96,3,89,1.0,1.0,1.0,0.9844961240310077,0.015503875968992276,0.0,0.046511627906976716,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,progress_rate,96,3,89,0.6511627906976745,0.5278134188719594,0.7840909090909091,0.9844961240310077,-0.33333333333333326,-0.46284415931569095,-0.1954022988505747,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,abs_dforce_dt,96,3,89,0.7170542635658915,0.5739230972515856,0.8454677589852008,0.9844961240310077,-0.2674418604651162,-0.39772727272727276,-0.15453224101479926,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,rms_dforce_dt,96,3,89,0.6434108527131783,0.5082118983957219,0.7574278267842822,0.9844961240310077,-0.3410852713178294,-0.47097701149425286,-0.2371996124031008,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,whole,abs_dforce_ddepth,96,3,89,0.7364341085271318,0.4090909090909091,1.0,0.9844961240310077,-0.24806201550387597,-0.5654545454545454,0.0,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,full_sensitivity,96,3,89,0.8953488372093024,0.8224806201550388,0.9534883720930233,0.7635658914728682,0.13178294573643412,-0.03471331194867678,0.28955290736984446,descriptive grouped association; no held-out classifier or causal inference
Phase2A,stalled_vs_success,band10_15,translation_sensitivity,96,3,89,0.8217054263565892,0.7386363636363636,0.8953488372093024,0.7635658914728682,0.05813953488372092,-0.12099660397074187,0.2068965517241379,descriptive grouped association; no held-out classifier or causal inference
