case_id,family,severity,detector,nominal_success,nominal_outcome,nominal_stalled,nominal_first_stall_s,nominal_safety_time_s,shadow_triggered,first_trigger_time_s,first_trigger_depth_mm,branch,wrist_force_at_trigger_n,eta_at_trigger,actual_progress_rate_mm_s,command_progress_rate_mm_s,safety_lead_s,stall_lead_s,safe_alarm_checks,false_alert,actual_interventions,actual_prefix_matched_to_nominal
ft058_late_combined_moderate_v2,late_combined,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,True
ft058_late_combined_moderate_v2,late_combined,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft059_late_combined_moderate_v3,late_combined,moderate,force,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft059_late_combined_moderate_v3,late_combined,moderate,productivity,True,insertion_success,False,,,False,,,,,,,,,,0,False,0,False
ft060_late_combined_severe_v0,late_combined,severe,force,False,grasp_retention_limit,False,,9.283333333198243,False,,,,,,,,,,0,False,0,True
ft060_late_combined_severe_v0,late_combined,severe,productivity,False,grasp_retention_limit,False,,9.283333333198243,False,,,,,,,,,,0,False,0,False
ft061_late_combined_severe_v1,late_combined,severe,force,False,grasp_retention_limit,False,,9.47499999986212,False,,,,,,,,,,0,False,0,False
ft061_late_combined_severe_v1,late_combined,severe,productivity,False,grasp_retention_limit,False,,9.47499999986212,False,,,,,,,,,,0,False,0,False
ft062_late_combined_severe_v2,late_combined,severe,force,False,grasp_retention_limit,False,,9.766666666524543,False,,,,,,,,,,0,False,1,False
ft062_late_combined_severe_v2,late_combined,severe,productivity,False,grasp_retention_limit,False,,9.766666666524543,True,9.699999999858846,19.157396256923676,normal,0.5682622790336609,0.24517929563738253,0.3513917326927185,1.433203124999686,0.06666666666569654,,1,False,1,False
ft063_late_combined_severe_v3,late_combined,severe,force,False,grasp_retention_limit,False,,9.866666666523088,False,,,,,,,,,,0,False,0,False
ft063_late_combined_severe_v3,late_combined,severe,productivity,False,grasp_retention_limit,False,,9.866666666523088,False,,,,,,,,,,0,False,0,False
