evaluation,horizon_s,model,hidden_load,definition,windows,groups,trajectories,mae,rmse,r2,degradation_auc,degraded_weight,eta_mean,prediction_outside_0_1_fraction
quarantined_shared_path,0.25,progress_wrench_motion,True,instant_10N_sensitivity,1,1,1,0.15559514842987443,0.15559514842987443,,,1.0,0.026285213275547444,0.0
quarantined_shared_path,0.25,progress_wrench_motion,True,mean_5N_sensitivity,4,4,4,0.7880033682868246,0.8874021066964498,-4217.69586123057,,1.0,0.006793363881337841,0.5
quarantined_shared_path,0.5,force_only,True,instant_10N_sensitivity,1,1,1,1.1328812497757816,1.1328812497757816,,,1.0,0.014838619508605072,1.0
quarantined_shared_path,0.5,force_only,True,mean_5N_sensitivity,4,4,4,1.2202543714553582,1.2239725388871996,-23896.26102431908,,1.0,0.004852904564864494,1.0
quarantined_shared_path,0.5,torque_only,True,instant_10N_sensitivity,1,1,1,1.0046837913228968,1.0046837913228968,,,1.0,0.014838619508605072,1.0
quarantined_shared_path,0.5,torque_only,True,mean_5N_sensitivity,4,4,4,1.067570119344314,1.0728095037772856,-18358.041499087507,,1.0,0.004852904564864494,0.75
quarantined_shared_path,0.5,current_progress,True,instant_10N_sensitivity,1,1,1,0.3808929340655559,0.3808929340655559,,,1.0,0.014838619508605072,1.0
quarantined_shared_path,0.5,current_progress,True,mean_5N_sensitivity,4,4,4,0.18705875636809963,0.21816675430209412,-758.244964773804,,1.0,0.004852904564864494,1.0
quarantined_shared_path,0.5,wrench_history,True,instant_10N_sensitivity,1,1,1,2.4375424920651567,2.4375424920651567,,,1.0,0.014838619508605072,1.0
quarantined_shared_path,0.5,wrench_history,True,mean_5N_sensitivity,4,4,4,1.390646379297075,1.7898127517217182,-51098.89115192496,,1.0,0.004852904564864494,1.0
quarantined_shared_path,0.5,progress_wrench_motion,True,instant_10N_sensitivity,1,1,1,1.1807894127490952,1.1807894127490952,,,1.0,0.014838619508605072,1.0
quarantined_shared_path,0.5,progress_wrench_motion,True,mean_5N_sensitivity,4,4,4,1.584847875380765,1.603905393056903,-41034.74047743917,,1.0,0.004852904564864494,1.0
