evaluation,horizon_s,model,mode,stalled_trajectories,detected_before_confirmation,detected_before_lookback,median_lead_to_confirmation_s,min_lead_to_confirmation_s,nonstalled_trajectories,nonstall_alerts,nonstall_alert_rate,nonstall_alert_rate_groupweighted,trajectories_without_eligible_windows
stage4,0.5,force_threshold,force_5N,7,0,0,,,6,0,0.0,0.0,0
stage4,0.5,force_threshold,force_10N,7,0,0,,,6,0,0.0,0.0,0
stage4,0.5,force_threshold,force_20N,7,0,0,,,6,0,0.0,0.0,0
development_oof,1.0,force_only,calibrated,6,0,0,,,112,10,0.08928571428571429,0.09900990099009901,0
development_oof,1.0,force_only,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,1.0,force_only,calibrated,11,0,0,,,28,0,0.0,0.0,0
quarantined_shared_path,1.0,force_only,semantic_eta_0.5,11,0,0,,,28,0,0.0,0.0,0
stage4,1.0,force_only,calibrated,7,0,0,,,6,0,0.0,0.0,0
stage4,1.0,force_only,semantic_eta_0.5,7,0,0,,,6,0,0.0,0.0,0
development_oof,1.0,torque_only,calibrated,6,0,0,,,112,3,0.026785714285714284,0.0297029702970297,0
development_oof,1.0,torque_only,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,1.0,torque_only,calibrated,11,1,1,0.7749999999992951,0.7749999999992951,28,0,0.0,0.0,0
quarantined_shared_path,1.0,torque_only,semantic_eta_0.5,11,0,0,,,28,0,0.0,0.0,0
stage4,1.0,torque_only,calibrated,7,4,2,0.4375000000018936,0.06666666666660603,6,0,0.0,0.0,0
stage4,1.0,torque_only,semantic_eta_0.5,7,0,0,,,6,0,0.0,0.0,0
development_oof,1.0,current_progress,calibrated,6,1,1,1.1583333333164774,1.1583333333164774,112,12,0.10714285714285714,0.11386138613861385,0
development_oof,1.0,current_progress,semantic_eta_0.5,6,1,1,0.7583333333222981,0.7583333333222981,112,0,0.0,0.0,0
quarantined_shared_path,1.0,current_progress,calibrated,11,6,2,0.3666666666687206,0.31666666667069876,28,3,0.10714285714285714,0.10256410256410256,0
quarantined_shared_path,1.0,current_progress,semantic_eta_0.5,11,2,0,0.12500000000159162,0.11666666666815217,28,0,0.0,0.0,0
stage4,1.0,current_progress,calibrated,7,7,1,0.3000000000038199,0.25000000000318323,6,0,0.0,0.0,0
stage4,1.0,current_progress,semantic_eta_0.5,7,4,0,0.05833333333362134,0.025000000000318323,6,0,0.0,0.0,0
development_oof,1.0,wrench_history,calibrated,6,0,0,,,112,13,0.11607142857142858,0.12376237623762376,0
development_oof,1.0,wrench_history,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,1.0,wrench_history,calibrated,11,4,3,0.7416666666661058,0.33333333333757764,28,2,0.07142857142857142,0.07692307692307691,0
quarantined_shared_path,1.0,wrench_history,semantic_eta_0.5,11,2,0,0.2416666666697438,0.23333333333630435,28,0,0.0,0.0,0
stage4,1.0,wrench_history,calibrated,7,4,2,0.4250000000054115,0.26666666666642413,6,0,0.0,0.0,0
stage4,1.0,wrench_history,semantic_eta_0.5,7,2,0,0.2250000000028649,0.20000000000254659,6,0,0.0,0.0,0
development_oof,1.0,progress_wrench_motion,calibrated,6,0,0,,,112,9,0.08035714285714286,0.0891089108910891,0
development_oof,1.0,progress_wrench_motion,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,1.0,progress_wrench_motion,calibrated,11,5,3,0.983333333332439,0.33333333333757764,28,5,0.17857142857142858,0.17948717948717946,0
quarantined_shared_path,1.0,progress_wrench_motion,semantic_eta_0.5,11,2,0,0.2416666666697438,0.23333333333630435,28,0,0.0,0.0,0
stage4,1.0,progress_wrench_motion,calibrated,7,5,3,0.700000000008913,0.3500000000044565,6,0,0.0,0.0,0
stage4,1.0,progress_wrench_motion,semantic_eta_0.5,7,3,0,0.16666666666651508,0.15000000000190994,6,0,0.0,0.0,0
development_oof,1.0,contact_wrench_history,calibrated,6,0,0,,,112,10,0.08928571428571429,0.0891089108910891,0
development_oof,1.0,contact_wrench_history,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,1.0,contact_wrench_history,calibrated,11,9,7,1.233333333315386,0.31666666667069876,28,5,0.17857142857142858,0.23076923076923073,0
quarantined_shared_path,1.0,contact_wrench_history,semantic_eta_0.5,11,4,0,0.3000000000018872,0.23333333333630435,28,0,0.0,0.0,0
stage4,1.0,contact_wrench_history,calibrated,7,7,5,1.3000000000165528,0.2250000000028649,6,0,0.0,0.0,0
stage4,1.0,contact_wrench_history,semantic_eta_0.5,7,7,0,0.2916666666664014,0.2250000000028649,6,0,0.0,0.0,0
development_oof,1.0,progress_contact_motion,calibrated,6,0,0,,,112,8,0.07142857142857142,0.07920792079207921,0
development_oof,1.0,progress_contact_motion,semantic_eta_0.5,6,0,0,,,112,0,0.0,0.0,0
quarantined_shared_path,1.0,progress_contact_motion,calibrated,11,9,7,1.183333333332257,0.31666666667069876,28,5,0.17857142857142858,0.1923076923076923,0
