trajectory_id,study,group_id,role,family,stalled,stall_confirmation_s,stall_lookback_start_s,insertion_success,numerically_valid,grasp_retained,max_depth_mm,max_normal_load_n,windows
Forge-Phase2B-Stage1/b010_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_y_roll_-1_drift,quarantined_shared_path,y_offset,False,,,True,True,True,20.111841708421707,0.03661054000258446,87
Forge-Phase2B-Stage1/b011_try00,Forge-Phase2B-Stage1,Phase2B:b_d5_y_roll_-1_combined,quarantined_shared_path,offset_tilt,False,,,True,True,True,20.015278458595276,0.704666793346405,87
Forge-Phase2B-Stage1/b012_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_x_pitch_+1_tilt,development,tilt_only,False,,,True,True,True,19.772158563137054,2.8630902767181396,60
Forge-Phase2B-Stage1/b013_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_x_pitch_+1_drift,quarantined_shared_path,x_offset,False,,,True,True,True,20.11048197746277,0.0,60
Forge-Phase2B-Stage1/b014_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_x_pitch_+1_combined,quarantined_shared_path,offset_tilt,False,,,False,True,True,19.37364563345909,2.169069290161133,60
Forge-Phase2B-Stage1/b015_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_x_pitch_-1_tilt,development,tilt_only,False,,,True,True,True,19.853001087903976,1.8746216297149658,60
Forge-Phase2B-Stage1/b016_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_x_pitch_-1_drift,development,x_offset,False,,,True,True,True,20.02350762486458,0.050522878766059875,60
Forge-Phase2B-Stage1/b017_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_x_pitch_-1_combined,development,offset_tilt,False,,,False,True,True,19.365882128477097,2.0178310871124268,60
Forge-Phase2B-Stage1/b018_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_y_roll_+1_tilt,development,tilt_only,False,,,True,True,True,19.85837295651436,4.67623233795166,60
Forge-Phase2B-Stage1/b019_try00,Forge-Phase2B-Stage1,Phase2B:b_d10_y_roll_+1_drift,development,y_offset,False,,,True,True,True,20.09473145008087,0.10060451924800873,60
